id,en,ja,de,fr
389,New Year's silk hat,ニューイヤーシルクハット,Neujahrszylinder,haut-de-forme nouvel an
390,ancient administrator hat,かんぼう,Wushamao,chapeau Wu Sha
391,glengarry,グレンガリーぼう,Schotten-Schiffchen,glengarry
392,pom casquette,ボンボンつきキャスケット,Bommelhut,casquette à pompon
393,tam-o'-shanter,スコットランドぼうし,Schottenmütze,béret écossais
394,ribbon,リボン,Schleifchen,nœud à cheveux
395,halo,てんしのわ,Lichtkranzes,auréole
396,nurse's cap,ナースキャップ,Schwesternhaube,coiffe d'infirmière
397,soft-serve hat,ソフトクリームなぼうし,Softeis-Hut,chapeau glace italienne
398,bunny ears,バニーのみみ,Hasenohren-Haarreif,serre-tête oreilles de lapin
399,straw umbrella hat,さんどがさ,Flach-Reishut,chapeau de bambou
400,ribboned straw hat,ちいさめなぼうし,Mini-Strohhut,chapeau paille ruban
401,small silk hat,ちいさめシルクハット,Mini-Seidenhut,chapeau de cavalière
402,blue rose crown,バラのかんむり・ブルー,Blaurosenkrone,coiffe roses bleues
403,gold rose crown,バラのかんむり・ゴールド,Goldrosenkrone,coiffe roses dorées
404,tiara,ティアラ,Diadem,tiare
405,tiara hair,おひめさま,Diadem-Perücke,diadème
406,headband,ヘアターバン,Haarband,bandeau
407,coin headpiece,コインヘッドピース,Münzen-Stirnband,parure de sultane
408,pigtail,べんぱつ,Khan-Perücke,natte
409,visual-punk wig,ヴィジュアルけいウィッグ,Visual-Kei-Perücke,perruque visual kei
410,snowperson head,ゆきだるまのぼうし,Schneemannhut,cagoule neige
411,star head,おほしさまのあたま,Sternenkapuze,cagoule étoile
412,headkerchief,ほっかむり,Wanderkopftuch,foulard vert
413,fairy-tale hood,メルヘンなずきん,Märchenkapuze,chaperon féerique
414,mummy mask,ミイラのかぶりもの,Mumienmaske,masque de momie
415,bunny hood,ウサギのかぶりもの,Hasenkapuze,cagoule lapin
416,cat cap,ネコのかぶりもの,Katzenmütze,cagoule chat
417,ski mask,めだしぼう,Skimaske,cagoule
418,skeleton hood,ガイコツのかぶりもの,Skelettkapuze,masque de squelette
419,bear cap,クマのかぶりもの,Bärenmütze,cagoule ours
420,kappa cap,カッパのおさら,Käpten-Mütze,cagoule kappa
421,knight's helmet,アイアンアーマーヘルメット,Ritterhelm,casque de chevalier
422,frog cap,カエルのかぶりもの,Froschmütze,cagoule grenouille
423,gold helmet,ゴールデンアーマーヘルメット,Goldhelm,casque en or
424,football helmet,アメフトヘルメット,Football-Helm,casque de football
425,firefighter's hat,しょうぼうしのぼうし,Feuerwehrhut,casque de pompier
426,welding mask,ようせつマスク,Schweißmaske,masque de soudure
427,samurai helmet,かぶと,Samuraihelm,casque de samouraï
428,milkmaid hat,オランダのぼうし,Trachtenhaube,chapeau hollandais
429,pilot's cap,ひこうぼう,Pilotenkappe,casque de pilote
430,baby's hat,あかちゃんのぼうし,Babyhütchen,chapeau de bébé
431,ninja hood,にんじゃずきん,Ninjakapuze,cagoule de ninja
432,batter's helmet,やきゅうのヘルメット,Baseballhelm,casque de batteur
433,wrestling mask,プロレスのマスク,Wrestlingmaske,masque de catch
434,hot-dog hood,ホットドッグマスク,Hotdog-Kapuze,capuche saucisse
435,knit cap with earflaps,みみあてつきニット,Ohrenwärmer-Strickmütze,bonnet cache-oreilles tricot
436,space helmet,アストロヘルメット,Astronautenhelm,casque spatial
437,paintball mask,ペイントボールマスク,Paintball-Maske,masque de paintball
438,zap helmet,ヒーローヘルメット,Superheldenhelm,casque de héros
439,turban,ターバン,Turban,turban
440,helmet with goggles,ゴーグルつきヘルメット,Skibrillenhelm,casque avec lunettes
441,racing helmet,フルフェイスメット,Rennfahrerhelm,casque de course
442,imp hood,デビルなかぶりもの,Kobold-Mütze,capuche de diablotin
443,sheep hood,ひつじのかぶりもの,Schafkapuze,capuche de bélier
444,veiled gardening hat,のうぎょうぼう,Schleier-Gärtnerhut,chapeau agricole
445,headgear,ヘッドギア,Boxerhelm,casque de boxe
446,mohawk wig,モヒカン,Irokesenperücke,perruque iroquoise
447,pompadour wig,リーゼント,Schmalztollenperücke,perruque banane
448,samurai wig,ちょんまげ,Samuraiperücke,coiffe de samouraï
449,matronly bun,たまねぎヘアー,Großmutterperücke,perruque de matrone
450,bun wig,おだんごあたま,Doppel-Dutt,perruque beignet
451,DJ cap,ヘッドホン,DJ-Kappe,casque de DJ
452,gothic headdress,ヘッドドレス,Gothic-Kopfputzes,chevelure gothique
453,veil,ベール,1001-Nacht-Schleier,voile princesse du désert
454,geisha wig,ゲイシャさん,Geishaperücke,coiffe de geisha
455,composer's wig,おんがくかのかつら,Komponistenperücke,perruque de compositeur
456,power helmet,パワードメット,Power-Helm,casque de puissance
457,paper bag,かみぶくろ,Papiertüte,sac en papier
458,fox mask,キツネのおめん,Fuchsmaske,masque de renard
459,elder mask,おきなののうめん,Greisenmaske,masque de sage
460,Noh mask,のうめん,No-Maske,masque de nô
461,hockey mask,ホッケーのマスク,Hockeymaske,masque de hockey
462,catcher's mask,キャッチャーマスク,Baseballmaske,masque de receveur
463,kaffiyeh,アラビアのぼうし,Kufija,keffieh
464,stagehand hat,くろこ,Kabuki-Hut,chapeau machiniste
465,leaf mask,はっぱのおめん,Blatt-Maske,masque feuille
466,sweater dress,ニットワンピース,Strickkleid,robe en laine
467,parka dress,パーカーワンピ,Pulloverkleid,robe à capuche
468,overall dress,ジャンパースカート,Jeanskleid,robe salopette
469,layered tank dress,レイヤーキャミワンピ,Trägerkleid,robe d'été avec t-⁠shirt
470,cheerleading uniform,チアのコスチューム,Cheerleader-Uniform,robe de pom-pom girl
471,satin dress,サテンのワンピース,Satinkleid,robe ballon en satin
472,tweed dress,ツイードワンピース,Tweedkleid,robe en tweed
473,gumdrop dress,はるのみずたまワンピース,Frühlingskleid,robe bonbons
474,tropical muumuu,パインがらムームー,Ananas-Strandkleid,muumuu tropical
475,academy uniform,よそいきなふく,Sonntagskleid,tenue académique
476,retro dress,レトロボックスワンピース,Vintage-Kleid,robe droite rétro
477,dazed dress,ゆめいろこうしワンピース,Wohlfühlkleid,robe losange
478,prim outfit,せいそなアンサンブル,Adrett-Kleid,ensemble soigné
479,belted dotted dress,ベルトつきみずたまワンピース,Tupfen-Kleid,robe cintrée à pois
480,blossom dress,はながらワンピース,Blütenkleid,robe d'été fleurie
481,lace-up dress,ロリータなワンピース,Niedlich-Kleid,robe à rubans
482,plover dress,ちどりごうしワンピース,Pepita-Kleid,robe pied-de-coq
483,fancy party dress,パーティーワンピ,Abendkleid,robe de soirée
484,rad power skirt suit,バブリーなセットアップ,80er-Businesskostüm,tenue de femme d'affaires
485,festive dress,クリスマスなドレス,Festtagskleid,robe de mère Noël
486,fairy-tale dress,メルヘンなドレス,Märchenkleid,robe féerique
487,maid dress,メイドのふく,Magdkleid,robe de servante
488,diner uniform,ダイナーのユニフォーム,Dineruniform,robe de serveuse années 50
489,bunny dress,ウサギなふく,Hasenkleid,robe lapin
490,noble zap suit,ヒロインスーツ,Heldinnenkleid,tenue d'héroïne
491,bathrobe,バスローブ,Bademantel,peignoir
492,ballet outfit,バレエのいしょう,Ballett-Trägerkleid,robe d'été ballet
493,cat dress,ネコなふく,Katzenkleid,robe chat
494,alpinist dress,チロリアンなドレス,Alpenkleid,robe tyrolienne
495,festive-tree dress,もみのきワンピース,Baumschmuck-Kleid,robe d'été sapin
496,caveman tank,げんしじんなふく,Steinzeit-Kluft,tunique caverne
497,flower-print dress,フラワーなワンピース,Blümchenkleid,robe marguerite
498,marble-dots dress,マーブルドットのワンピース,Buntpünktchenkleid,robe à pois arlequin
499,simple-dots dress,シンプルドットワンピース,Unipünktchenkleid,robe à pois simples
500,hibiscus muumuu,ハイビスカスのムームー,Hibiskus-Strandkleid,muumuu hibiscus
501,bold muumuu,ポリネシアンなムームー,Aloha-Strandkleid,muumuu aloha
502,simple checkered dress,シンプルチェックのワンピ,Unikarokleid,robe à carreaux simples
503,princess dress,プリンセスなふく,Prinzessinnenkleid,robe de princesse
504,lively plaid dress,げんきなチェックのワンピ,Grellkaro-Kleid,robe écossaise acidulée
505,sleeveless sweater dress,そでなしニットワンピ,Frühlingsstrickkleid,robe en laine sans manches
506,kandoora,カンデューラ,Kandura,gandoura
507,junihitoe kimono,じゅうにひとえ,Hofkimono,kimono junihitoe
508,Victorian dress,セニョリータなドレス,Señorita-Kleid,robe victorienne
509,hakama with crest,もんつきはかま,Wappen-Hakama,hakama à emblème
510,apple dress,リンゴのふく,Apfelkleid,robe pomme
511,pear dress,ナシのふく,Birnenkleid,robe poire
512,cherry dress,さくらんぼのふく,Kirschkleid,robe cerise
513,peach dress,モモのふく,Pfirsichkleid,robe pêche
514,Labelle dress,ケイトのワンピース,Samthea-Kleid,robe Maria
515,strawberry dress,イチゴのふく,Erdbeerkleid,robe fraise
516,watermelon dress,スイカのふく,Wassermelonenkleid,robe pastèque
517,orange dress,オレンジのふく,Orangenkleid,robe orange
518,pajama dress,パジャマワンピ,Pyjamakleid,robe pyjama
519,visual-punk dress,ヴィジュアルけいドレス,Visual-Kei-Kleid,robe visual kei
520,bekasab robe,ウズベクなふく,Bekasab-Gewand,robe bekasab
521,attus robe,アットゥシ,Attus-Gewand,robe attus
522,bingata dress,びんがたいしょう,Bingata-Kleid,robe bingata
523,kiwi dress,キウイのふく,Kiwikleid,robe kiwi
524,painter's coverall,ペイントつなぎ,Maleranzug,combinaison de peintre
525,grape dress,ぶどうのふく,Traubenkleid,robe raisin
526,pineapple dress,パイナップルのふく,Ananaskleid,robe ananas
527,egg party dress,たまごのパーティーワンピ,Glücksei-Abendkleid,robe de soirée œuf
528,earth-egg outfit,じめんのたまごのふく,Erd-Glücksei-Outfit,tenue œuf terrestre
529,stone-egg outfit,いわのたまごのふく,Fels-Glücksei-Outfit,tenue œuf minéral
530,leaf-egg outfit,はっぱのたまごのふく,Laub-Glücksei-Outfit,tenue œuf feuillu
531,wood-egg outfit,ウッディなたまごのふく,Holz-Glücksei-Outfit,tenue œuf boisé
532,sky-egg outfit,そらとぶたまごのふく,Luft-Glücksei-Outfit,tenue œuf aérien
533,water-egg outfit,サカナのたまごのふく,Wasser-Glücksei-Outfit,tenue œuf aquatique
534,nurse's dress uniform,かんごしのワンピース,Schwesternkittel,blouse d'infirmière
535,PJ outfit,パジャマ,Pyjama,pyjama
536,ruffled dress,コルセットドレス,Korsettkleid,robe à corset
537,shirtdress,シャツワンピ,Hemdkleid,robe chemisier
538,sleeveless shirtdress,そでなしシャツワンピ,Sommerhemdkleid,robe chemise sans manches
539,jockey uniform,ジョッキーのふく,Jockeydress,tenue de jockey
540,bear costume,クマなふく,Bären-Outfit,costume d'ours
541,firefighter uniform,しょうぼうしのふく,Feuerwehruniform,uniforme de pompier
542,frog costume,カエルなふく,Froschkostüm,costume de grenouille
543,kappa costume,カッパスーツ,Käpten-Kostüm,costume de kappa
544,fashionable royal dress,アントワネットなドレス,Königinnenkleid,robe de reine
545,palatial tank dress,ナイルなふく,Oasen-Trägerkleid,robe d'été Nil
546,jumper work suit,さぎょうぎ,Arbeitsuniform,tenue d'ouvrier
547,jester costume,ピエロのふく,Narren-Outfit,costume de bouffon
548,zap suit,ヒーロースーツ,Superheldenkostüm,costume de héros
549,jinbei,じんべい,Jimbei,jinbei
550,ninja costume,しのびのふく,Ninjakostüm,tenue de ninja
551,dragon suit,ドラゴンスーツ,Drachen-Outfit,combinaison dragon
552,concierge uniform,ホテルマンなふく,Portier-Outfit,uniforme hôtel
553,flight-crew uniform,フライトアテンダントのふく,Stewardessuniform,uniforme d'hôtesse de l'air
554,mage's robe,まほうつかいのローブ,Zauberumhang,robe de sorcellerie
555,áo dài,アオザイ,Áo dài,áo dài
556,pinafore,かっぽうぎ,Küchenkleid,robe tablier
557,chima jeogori,チマチョゴリ,Hanbok-Kleid,chima chogori
558,security uniform,けいかんのふく,Polizeiuniform,tenue de policier
559,toga,ローマなふく,Kaisertoga,toge romaine
560,blossoming kimono,ウメがらのきもの,Blümchenkimono,kimono fleurs de prunier
561,mysterious dress,ゴシックなふく,Gothic-Kleid,tunique mystérieuse
562,chiton,ギリシャなふく,Toga,toge
563,moldy dress,かびたワンピース,Schimmelkleid,robe élimée
564,pharaoh's outfit,エジプトのふく,Pharao-Robe,tenue de pharaon
565,desert outfit,アラビアなふく,1001-Nacht-Outfit,tenue prince du désert
566,mummy outfit,ほうたいのふく,Mumienkostüm,costume de momie
567,bone costume,ボーンなふく,Knochenkostüm,costume de squelette
568,wrestler uniform,プロレススーツ,Wrestling-Outfit,tenue de catch
569,baseball uniform,やきゅうのふく,Baseball-Outfit,tenue de base-ball
570,pilot's uniform,きちょうのふく,Piloten-Outfit,tenue de capitaine
571,suit of lights,マタドールなふく,Pompös-Outfit,tenue ibérique
572,milkmaid dress,オランダなドレス,Trachtenkleid,robe hollandaise
573,space suit,うちゅうふく,Raumanzug,combinaison spatiale
574,racing outfit,レーサーなふく,Rennfahrer-Outfit,combinaison de pilote
575,skirt with suspenders,つりスカート,Hosenträgerrock,jupe à bretelles
576,box-skirt uniform,ジャンパースカートのせいふく,Bundfaltenkleid,uniforme de réceptionniste
577,denim overalls,デニムのサロペット,Jeanslatzhose,salopette en jean
578,sailor-collar dress,マリンルックワンピース,Matrosenkragenkleid,robe à col marin
579,sari,サリー,Sari,sari
580,adventure dress,ふしぎなワンピース,Wunderlandkleid,robe des merveilles
581,sweetheart dress,ビスチェワンピース,Trägermaxikleid,robe à col en cœur
582,fairy dress,ようせいのふく,Feenkleid,robe de fée
583,suspender outfit,サスペンダーなふく,Hosenträger-Outfit,costume à bretelles
584,sprite costume,こびとのふく,Wichtelkostüm,costume de lutin
585,nightgown,ネグリジェ,Nachthemd,chemise de nuit
586,judogi,じゅうどうぎ,Judogi,judogi
587,striped dress,ボーダーワンピース,Ringelkleid,robe striée
588,linen dress,リネンワンピース,Leinenkleid,robe en lin
589,wizard's robe,まじゅつしのローブ,Zaubererumhang,tenue de magicien
590,striped halter dress,ホルターネックのワンピース,Streifenträgerkleid,robe rayée sans manches
591,miko attire,みこしょうぞく,Miko-Outfit,tenue de miko
592,retro sleeveless dress,モガなワンピース,Charlestonkleid,robe années folles
